User;CPRs;MPRs;Cts;Reviews;CI
driehuis;"-";"-";1;"-";1
em230418;1;"-";"-";"-";1
"espo-tony";"-";"-";"-";"-";0
extrememicro;"-";"-";1;"-";1
foutoucour;"-";"-";"-";"-";0
funbaker;"-";"-";1;"-";1
gaelTorrecillas;"-";"-";"-";"-";0
"gbaumgartner-callino";"-";"-";"-";"-";0
georginacicerchia;"-";"-";1;"-";1
gustavovalverde;"-";"-";"-";"-";0
"gva-acsone";"-";"-";"-";1;1
hcbayram;"-";1;"-";"-";1
hgarridoco;"-";1;"-";"-";1
"hugho-ad";"-";"-";1;"-";1
hugosantosred;"-";"-";"-";"-";0
ieski;1;"-";"-";"-";1
ilsoft71;"-";"-";"-";"-";0
ilyasProgrammer;1;"-";"-";"-";1
jans23;"-";"-";"-";"-";0
japarici;1;"-";"-";"-";1
javidiez;"-";"-";"-";1;1
"jfernandez-busman";"-";"-";"-";1;1
jguenat;1;"-";"-";"-";1
jobiols;"-";"-";"-";"-";0
jonerikceberio;1;"-";"-";"-";1
jonisunz;"-";1;"-";"-";1
jordancoest;"-";"-";"-";1;1
kaerdsar;"-";"-";"-";"-";0
"karabanov-volodymyr";"-";"-";"-";"-";0
kellylougheed;"-";"-";"-";"-";0
kevinxdev;"-";"-";"-";"-";0
kwoychesko;1;"-";"-";"-";1
lasley;"-";"-";"-";"-";0
litmount;"-";"-";1;"-";1
"lk-eska";"-";"-";1;"-";1
llacroix;"-";1;"-";"-";1
luismalta;"-";"-";"-";"-";0
luk156;"-";"-";1;"-";1
macagua;1;"-";"-";"-";1
maljac;"-";"-";"-";"-";0
marcelofrare;"-";"-";"-";1;1
"marco-marchiori";"-";"-";"-";1;1
"mart-e";"-";"-";1;"-";1
masteriusz;"-";"-";1;"-";1
mathieuOdobescu;1;"-";"-";"-";1
mathieudelva;1;"-";"-";"-";1
mcojocaru;1;"-";"-";"-";1
michaelslade54;"-";"-";1;"-";1
misern2;"-";1;"-";"-";1
mohamedhagag;"-";"-";"-";"-";0
"moval-agroingenieria";1;"-";"-";"-";1
mrcast;"-";"-";"-";1;1
"msteinfeld-sirum";1;"-";"-";"-";1
navarrorico;"-";"-";1;"-";1
nguyenhk99;"-";1;"-";"-";1
nilshamerlinck;"-";1;"-";"-";1
ntodorova;"-";"-";"-";"-";0
olveracuenca;"-";"-";"-";"-";0
ovnicraft;"-";"-";"-";1;1
"pablo-lp";"-";"-";"-";"-";0
paradoxxxzero;1;"-";"-";"-";1
pedroguirao;1;"-";"-";"-";1
poonlap;"-";"-";"-";"-";0
qgroulard;1;"-";"-";"-";1
qpeyramale;"-";1;"-";"-";1
quentinDupont;"-";"-";"-";"-";0
rauferdeveloper;1;"-";"-";"-";1
rcerrillo2;"-";"-";1;"-";1
reinka;"-";"-";"-";"-";0
"rhe-mastercore";"-";"-";"-";"-";0
sanrav;"-";"-";"-";1;1
santostelmo;1;"-";"-";"-";1
"schhatbar-initos";"-";"-";"-";"-";0
scigghia;"-";"-";"-";"-";0
sergioeix;"-";"-";1;"-";1
sj3;"-";"-";"-";1;1
skeller1;"-";1;"-";"-";1
"sla-subteno-it";"-";"-";"-";1;1
sonhd91;"-";"-";"-";1;1
stananatanaela;1;"-";"-";"-";1
stevech091;"-";"-";"-";1;1
susport;"-";"-";"-";"-";0
tanghulu0608;"-";"-";"-";"-";0
tbaptista;"-";"-";"-";"-";0
tcamberlin;"-";"-";"-";1;1
tfossoul;"-";"-";1;"-";1
theangryangel;"-";"-";1;"-";1
"thomas-work";1;"-";"-";"-";1
tschanzt;"-";"-";"-";"-";0
valentincastravete;"-";"-";"-";1;1
vincentius;"-";"-";1;"-";1
vvrossem;"-";"-";"-";"-";0
whulshof;1;"-";"-";"-";1
xavigutipujol;1;"-";"-";"-";1
yavuzavci;"-";"-";1;"-";1
ygol;"-";"-";1;"-";1
yk2kus;"-";"-";"-";"-";0
ysantiago;"-";"-";"-";"-";0
zahravelasco;"-";"-";"-";"-";0
zaoral;1;"-";"-";"-";1
