User,CI,CPRs,MPRs,Cts,Reviews
suniagajose,2,1,1,(null),(null)
sudosystem-git,2,1,(null),1,(null)
sudhir-erpharbor,2,1,1,(null),(null)
stananatanaela,2,1,1,(null),(null)
spaceone,2,(null),(null),3,(null)
SodexisTeam,2,(null),2,(null),(null)
SiscoIngeos,2,1,(null),2,(null)
Shivam-2512,2,1,(null),1,(null)
shagab99,2,1,1,(null),(null)
serl,2,1,1,(null),(null)
satiowadahc,2,1,(null),1,(null)
Sanami0329,2,(null),(null),(null),2
rpsjr,2,6,(null),(null),(null)
rossigee,2,1,1,(null),(null)
rickard-w,2,(null),(null),5,(null)
rf-ife,2,(null),(null),2,1
RachidAlassir,2,1,(null),1,(null)
QuatschSalat,2,1,1,(null),(null)
ps-tubtim,2,(null),(null),1,1
pre-commit-ci[bot],2,2,1,(null),(null)
prabakaran-tsd,2,1,(null),(null),1
pierre-halleux,2,1,(null),1,(null)
percevaq,2,(null),(null),3,(null)
paulius-sladkevicius,2,(null),(null),(null),2
painkin,2,(null),(null),(null),2
osasix,2,1,1,(null),(null)
ollo2012,2,1,(null),1,(null)
olivierb2,2,1,1,(null),(null)
oerp-odoo,2,1,(null),1,(null)
odooerpdevelopers,2,1,(null),1,(null)
nibraun,2,(null),(null),(null),2
niboo-ave,2,(null),(null),2,1
nhomar,2,(null),(null),3,(null)
ng-ife,2,(null),(null),(null),2
NETechAlly,2,1,(null),1,(null)
nericervin,2,2,(null),1,(null)
natuan9,2,3,(null),(null),(null)
Nantikan23,2,(null),(null),1,1
MVillaescusaM,2,(null),1,2,(null)
much-filipe-colaco,2,(null),(null),6,(null)
mpurnell1,2,(null),(null),(null),2
mostafabarmshory,2,(null),(null),4,(null)
MiguelPoyatos,2,(null),1,(null),1
meet1432,2,2,(null),1,(null)
matteotognini,2,(null),(null),1,1
MarwanLk,2,1,(null),1,(null)
Marco-ooops,2,(null),(null),(null),2
manyanic,2,(null),(null),2,1
manuel-florido,2,(null),(null),3,(null)
mamimumemo1202,2,(null),(null),(null),2
Lukwos,2,(null),(null),2,1
luistorresm,2,1,(null),(null),1
luisnore,2,(null),(null),(null),2
lubusax,2,2,(null),1,(null)
LorenzoC0,2,1,1,(null),(null)
lorenzoallegrucci,2,(null),(null),4,(null)
LlucSG,2,(null),(null),(null),2
liebana,2,1,(null),(null),1
Liam-Callista,2,1,1,(null),(null)
leonobitech,2,1,(null),1,(null)
lavacano,2,3,(null),(null),(null)
Larsq1,2,(null),(null),1,1
kittiu,2,(null),(null),5,(null)
kimirondon,2,3,(null),(null),(null)
Killance,2,3,(null),(null),(null)
